Reported Time
Without Indexing
"95242 rows retrieved starting from 1 in 1 s 641 ms (execution: 1 s 52 ms, fetching: 589 ms)"
With Indexing
"95242 rows retrieved starting from 1 in 1 s 250 ms (execution: 817 ms, fetching: 433 ms)"

name,year_interval
Morgan Jones,102
Tom Wilson,91
Frank Bennett,84
Robert Russell,83
Jennifer Lee,82
Ray Thomas,82
Joe Roberts,80
Alec B. Francis,79
Ted Duncan,78
William Bell,77
John Travolta,76
Louis Gossett Jr,76
William S. Burroughs,76
Billy West,75
Eagle Eye Cherry,75
James Garner,75
Edward Asner,74
George Cooper,74
Gordon Harker,74
Joe Murphy,74
Carl Brisson,73
Clare Greet,73
Doris Lloyd,73
Harry Terry,73
Lila Lee,73
Robert Williams,73
Tom Wood,73
Trevor Jack Brooks,73
Edward de Souza,72
Gibb McLaughlin,72
Irving Pichel,72
John Alexander,72
John Gilbert,72
John Normington,72
Mark Strong,72
Mickey Rooney,72
William Butler,72
Bo Derek,71
Charles Williams,71
Gloria Stuart,71
Harry Jones,71
James Bell,71
James Stewart,71
Lillian Gish,71
Richard Harris,71
Robert Murphy,71
Robert Taylor,71
Tom Costello,71
Walt Disney,71
Clyde Cook,70
Forrester Harvey,70
Frank Conroy,70
Gordon Hart,70
Robert Powell,70
Robert Stack,70
Suzanne Pleshette,70
Taylor Henry,70
Thomas Mitchell,70
Tony Martin,70
Al Thompson,69
Anita Brown,69
David Warner,69
Fritz Feld,69
John Phillip Law,69
Kenny Baker,69
Michèle Morgan,69
William Brown,69
Bobby Jordan,68
Claudio Abbado,68
Dickie Moore,68
Jack Duffy,68
Jay Ward,68
John Mills,68
John Patrick,68
Richard Allen,68
Robert Blake,68
Tammany Young,68
Timothy West,68
Billy Griffith,67
David Oliver,67
Frank Ellis,67
Gary Cooper,67
Jack Raymond,67
James Baker,67
Pat O'Brien,67
Royal Dano,67
Arliss Howard,66
Bessie Love,66
Charles T. Perry,66
Donald Douglas,66
Frank Wilson,66
Hay Petrie,66
Jack Montgomery,66
John Howard,66
Keith Richards,66
Marlene Dietrich,66
Mike Johnson,66
Robert Burns,66
Tom Helmore,66
Tommy Mack,66
Tony Goldwyn,66
Treat Williams,66
Troy Brown,66
Arthur Howard,65
Carole Cook,65
Dave Anderson,65
Eric Roberts,65
George Wallace I,65
James Cromwell,65
Laurence Olivier,65
Michael Owen,65
Miles Anderson,65
Paul Stewart,65
Richard Epcar,65
Ronald Reagan,65
Victor Wong,65
Alison Elliott,64
Ann Savage,64
Bela Lugosi,64
Geraldine Fitzgerald,64
Ian Hunter,64
Jack McDonald,64
Tim Davis,64
William Burke,64
Ann Miller,63
Ben Webster,63
Dorothy Kelly,63
Henry Thomas,63
Jackie Moran,63
James MacDonald,63
Jane Adams (II),63
John Miller,63
Lauren Bacall,63
Noel Neill,63
Norman Lloyd,63
Phil Brown,63
Victor Jory,63
Bobby Deol,62
Glynis Johns,62
Jackie Brown,62
Joan Crawford,62
Joe Conti,62
John Gielgud,62
Larry Simms,62
Lyle Talbot,62
Matt Moore,62
Parley Baer,62
Paul Hilton,62
Preity Zinta,62
Robert Floyd,62
Sam Wilkinson,62
Angela Lansbury,61
Billy Barty,61
Cesar Romero,61
Eddie Byrne,61
Gloria de Haven,61
Howard Hawks,61
James Brown,61
J. Carrol Naish,61
John Carradine,61
Joyce Bryant,61
Laurie Main,61
Marc Lawrence I,61
Milos Forman,61
Paul Guilfoyle,61
Robert Morgan,61
Roger Moore,61
Sam Harris,61
Sonia Darrin,61
Andrew Keir,60
Beau Bridges,60
Ben Johnson,60
Bill Edwards,60
Billy Mitchell,60
